subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus
a273wocs111dh0,1,13706,1,1,Node1,picture1.jpg,1,threat,1,threat,2,threat,2,threat
a273wocs111dh0,2,4793,1,3,Node4,picture5.jpg,1,neutral,2,neutral,2,neutral,1,neutral
a273wocs111dh0,3,7331,1,1,Node1,picture1.jpg,1,threat,1,threat,2,threat,2,threat
a273wocs111dh0,4,3154,1,1,Node9,picture4.jpg,2,threat,2,threat,1,neutral,1,neutral
a273wocs111dh0,5,15653,0,1,Node10,picture10.jpg,2,neutral,2,neutral,2,neutral,1,neutral
a273wocs111dh0,6,1114,0,2,Node8,picture3.jpg,2,threat,2,neutral,2,threat,1,neutral
a273wocs111dh0,7,6953,1,1,Node4,picture5.jpg,1,neutral,1,neutral,2,neutral,2,neutral
a273wocs111dh0,8,4965,1,2,Node2,picture9.jpg,1,neutral,2,threat,1,neutral,2,neutral
a273wocs111dh0,9,3003,1,1,Node6,picture3.jpg,2,neutral,2,neutral,1,neutral,1,threat
a273wocs111dh0,10,3235,1,3,Node8,picture3.jpg,2,threat,1,neutral,1,threat,2,threat
a273wocs111dh0,11,2048,1,2,Node9,picture4.jpg,2,threat,1,neutral,2,threat,1,neutral
a273wocs111dh0,12,2664,1,3,Node8,picture3.jpg,2,threat,1,threat,1,neutral,2,threat
a273wocs111dh0,13,7476,1,2,Node10,picture10.jpg,2,neutral,1,neutral,2,neutral,1,neutral
a273wocs111dh0,14,59388,0,3,Node8,picture3.jpg,2,threat,1,threat,2,threat,2,threat
a273wocs111dh0,15,6153,0,1,Node4,picture5.jpg,1,neutral,1,neutral,1,neutral,2,threat
a273wocs111dh0,16,759,1,2,Node6,picture3.jpg,2,neutral,1,threat,2,neutral,1,neutral
a273wocs111dh0,17,23913,0,2,Node8,picture3.jpg,2,threat,2,threat,2,threat,1,threat
a273wocs111dh0,18,2160,0,1,Node4,picture5.jpg,1,neutral,1,neutral,1,threat,2,neutral
a273wocs111dh0,19,9826,0,2,Node9,picture4.jpg,2,threat,2,threat,2,threat,1,threat
a273wocs111dh0,20,3697,0,2,Node4,picture5.jpg,1,neutral,1,threat,1,neutral,2,neutral
a273wocs111dh0,21,9900,1,2,Node10,picture10.jpg,2,neutral,1,neutral,2,neutral,1,neutral
a273wocs111dh0,22,1287,1,1,Node9,picture4.jpg,2,threat,2,threat,1,neutral,1,neutral
a273wocs111dh0,23,1988,1,2,Node4,picture5.jpg,1,neutral,2,neutral,1,neutral,2,neutral
a273wocs111dh0,24,1688,1,1,Node2,picture9.jpg,1,neutral,1,neutral,2,neutral,2,threat
