subject,src,n_trials,score
sub100,picture10_neutral.jpg,2,1
sub100,picture1_neutral.jpg,2,2
sub100,picture1_threat.jpg,2,3.5
sub100,picture2_threat.jpg,2,2.5
sub100,picture3_neutral.jpg,2,1
sub100,picture3_threat.jpg,2,1
sub100,picture4_neutral.jpg,2,3
sub100,picture4_threat.jpg,2,1
sub100,picture5_neutral.jpg,2,3
sub100,picture7_neutral.jpg,2,1
sub101,picture1_neutral.jpg,1,11
sub101,picture1_threat.jpg,1,7
sub101,picture2_threat.jpg,1,4
sub101,picture3_neutral.jpg,1,12
sub101,picture3_threat.jpg,1,1
sub101,picture4_neutral.jpg,1,12
sub101,picture4_threat.jpg,1,3
sub101,picture5_neutral.jpg,1,1
sub101,picture6_neutral.jpg,1,1
sub101,picture7_neutral.jpg,1,5
sub17,picture1_neutral.jpg,2,6
sub17,picture1_threat.jpg,2,9
sub17,picture2_neutral.jpg,2,3.5
sub17,picture2_threat.jpg,2,5.5
sub17,picture3_threat.jpg,2,7
sub17,picture4_threat.jpg,2,1
sub17,picture6_neutral.jpg,2,8
sub17,picture7_neutral.jpg,2,1
sub17,picture8_neutral.jpg,2,9
sub17,picture9_neutral.jpg,2,9
sub20,picture1_neutral.jpg,1,1
sub20,picture1_threat.jpg,1,2
sub20,picture2_threat.jpg,1,1
sub20,picture3_neutral.jpg,1,2
sub20,picture3_threat.jpg,1,1
sub20,picture4_neutral.jpg,1,1
sub20,picture4_threat.jpg,1,1
sub20,picture5_neutral.jpg,1,1
sub20,picture7_neutral.jpg,1,1
sub20,picture9_neutral.jpg,1,1
sub21,picture10_neutral.jpg,1,8
sub21,picture1_threat.jpg,1,7
sub21,picture2_threat.jpg,1,3
sub21,picture3_neutral.jpg,1,10
sub21,picture3_threat.jpg,1,1
sub21,picture4_neutral.jpg,1,4
sub21,picture4_threat.jpg,1,9
sub21,picture5_neutral.jpg,1,10
sub21,picture6_neutral.jpg,1,5
sub21,picture9_neutral.jpg,1,3
sub23,picture10_neutral.jpg,1,1
sub23,picture1_neutral.jpg,1,2
sub23,picture1_threat.jpg,1,1
sub23,picture2_neutral.jpg,1,1
sub23,picture2_threat.jpg,1,1
sub23,picture3_threat.jpg,1,1
sub23,picture4_threat.jpg,1,1
sub23,picture6_neutral.jpg,1,1
sub23,picture8_neutral.jpg,1,2
sub23,picture9_neutral.jpg,1,1
sub28,picture1_threat.jpg,1,6
sub28,picture2_neutral.jpg,1,6
sub28,picture2_threat.jpg,1,3
sub28,picture3_neutral.jpg,1,2
sub28,picture3_threat.jpg,1,6
sub28,picture4_neutral.jpg,1,6
sub28,picture4_threat.jpg,1,6
sub28,picture5_neutral.jpg,1,4
sub28,picture8_neutral.jpg,1,6
sub28,picture9_neutral.jpg,1,6
sub31,picture10_neutral.jpg,1,1
sub31,picture1_threat.jpg,1,1
sub31,picture2_neutral.jpg,1,1
sub31,picture2_threat.jpg,1,1
sub31,picture3_threat.jpg,1,1
sub31,picture4_neutral.jpg,1,2
sub31,picture4_threat.jpg,1,2
sub31,picture6_neutral.jpg,1,1
sub31,picture8_neutral.jpg,1,1
sub31,picture9_neutral.jpg,1,1
sub34,picture10_neutral.jpg,5,5.4
sub34,picture1_neutral.jpg,5,5.2
sub34,picture1_threat.jpg,5,10.2
sub34,picture2_neutral.jpg,5,9.2
sub34,picture2_threat.jpg,5,10.4
sub34,picture3_neutral.jpg,5,5.8
sub34,picture3_threat.jpg,5,6.4
sub34,picture4_threat.jpg,5,10.6
sub34,picture5_neutral.jpg,5,10.6
sub34,picture8_neutral.jpg,5,8.8
sub37,picture1_threat.jpg,1,1
sub37,picture2_neutral.jpg,1,1
sub37,picture2_threat.jpg,1,3
sub37,picture3_neutral.jpg,1,4
sub37,picture3_threat.jpg,1,1
sub37,picture4_neutral.jpg,1,1
sub37,picture4_threat.jpg,1,1
sub37,picture6_neutral.jpg,1,2
sub37,picture7_neutral.jpg,1,4
sub37,picture9_neutral.jpg,1,1
sub38,picture1_neutral.jpg,1,1
sub38,picture1_threat.jpg,1,3
sub38,picture2_threat.jpg,1,5
sub38,picture3_neutral.jpg,1,5
sub38,picture3_threat.jpg,1,5
sub38,picture4_neutral.jpg,1,2
sub38,picture4_threat.jpg,1,5
sub38,picture7_neutral.jpg,1,5
sub38,picture8_neutral.jpg,1,5
sub38,picture9_neutral.jpg,1,5
sub40,picture10_neutral.jpg,1,1
sub40,picture1_neutral.jpg,1,1
sub40,picture1_threat.jpg,1,1
sub40,picture2_neutral.jpg,1,1
sub40,picture2_threat.jpg,1,1
sub40,picture3_threat.jpg,1,1
sub40,picture4_neutral.jpg,1,2
sub40,picture4_threat.jpg,1,2
sub40,picture7_neutral.jpg,1,2
sub40,picture9_neutral.jpg,1,2
sub41,picture10_neutral.jpg,5,1
sub41,picture1_neutral.jpg,5,2.8
sub41,picture1_threat.jpg,5,2.8
sub41,picture2_neutral.jpg,5,1.6
sub41,picture2_threat.jpg,5,1.6
sub41,picture3_neutral.jpg,5,1
sub41,picture3_threat.jpg,5,1.4
sub41,picture4_threat.jpg,5,1.6
sub41,picture7_neutral.jpg,5,2.8
sub41,picture9_neutral.jpg,5,2
sub45,picture1_threat.jpg,1,3
sub45,picture2_neutral.jpg,1,2
sub45,picture2_threat.jpg,1,1
sub45,picture3_neutral.jpg,1,1
sub45,picture3_threat.jpg,1,1
