subject,src,n_trials,score
sub1,picture1_threat.jpg,1,12
sub1,picture2_threat.jpg,1,2
sub1,picture3_neutral.jpg,1,8
sub1,picture3_threat.jpg,1,1
sub1,picture4_neutral.jpg,1,12
sub1,picture4_threat.jpg,1,11
sub1,picture5_neutral.jpg,1,5
sub1,picture6_neutral.jpg,1,3
sub1,picture7_neutral.jpg,1,7
sub1,picture9_neutral.jpg,1,10
sub10,picture10_neutral.jpg,1,21
sub10,picture1_neutral.jpg,1,1
sub10,picture1_threat.jpg,1,19
sub10,picture2_threat.jpg,1,16
sub10,picture3_neutral.jpg,1,10
sub10,picture3_threat.jpg,1,22
sub10,picture4_neutral.jpg,1,15
sub10,picture4_threat.jpg,1,20
sub10,picture5_neutral.jpg,1,20
sub10,picture9_neutral.jpg,1,22
sub100,picture10_neutral.jpg,3,4
sub100,picture1_neutral.jpg,3,6
sub100,picture1_threat.jpg,3,7.333333333333333
sub100,picture2_threat.jpg,3,6
sub100,picture3_neutral.jpg,3,1
sub100,picture3_threat.jpg,3,6
sub100,picture4_neutral.jpg,3,7.333333333333334
sub100,picture4_threat.jpg,3,1.6666666666666667
sub100,picture5_neutral.jpg,3,4
sub100,picture7_neutral.jpg,3,1.6666666666666667
sub101,picture1_neutral.jpg,2,25
sub101,picture1_threat.jpg,2,26
sub101,picture2_threat.jpg,2,25
sub101,picture3_neutral.jpg,2,28
sub101,picture3_threat.jpg,2,23.5
sub101,picture4_neutral.jpg,2,18
sub101,picture4_threat.jpg,2,24
sub101,picture5_neutral.jpg,2,21.5
sub101,picture6_neutral.jpg,2,16.5
sub101,picture7_neutral.jpg,2,20.5
sub102,picture10_neutral.jpg,1,4
sub102,picture1_neutral.jpg,1,13
sub102,picture1_threat.jpg,1,18
sub102,picture2_threat.jpg,1,17
sub102,picture3_neutral.jpg,1,15
sub102,picture3_threat.jpg,1,14
sub102,picture4_neutral.jpg,1,18
sub102,picture4_threat.jpg,1,12
sub102,picture5_neutral.jpg,1,2
sub102,picture6_neutral.jpg,1,17
sub103,picture10_neutral.jpg,1,22
sub103,picture1_neutral.jpg,1,5
sub103,picture1_threat.jpg,1,19
sub103,picture2_threat.jpg,1,21
sub103,picture3_neutral.jpg,1,14
sub103,picture3_threat.jpg,1,7
sub103,picture4_neutral.jpg,1,23
sub103,picture4_threat.jpg,1,1
sub103,picture6_neutral.jpg,1,10
sub103,picture7_neutral.jpg,1,23
sub105,picture10_neutral.jpg,1,5
sub105,picture1_neutral.jpg,1,24
sub105,picture1_threat.jpg,1,3
sub105,picture2_threat.jpg,1,23
sub105,picture3_threat.jpg,1,20
sub105,picture4_neutral.jpg,1,24
sub105,picture4_threat.jpg,1,20
sub105,picture6_neutral.jpg,1,1
sub105,picture7_neutral.jpg,1,21
sub105,picture9_neutral.jpg,1,8
sub11,picture1_neutral.jpg,1,6
sub11,picture1_threat.jpg,1,9
sub11,picture2_threat.jpg,1,1
sub11,picture3_neutral.jpg,1,10
sub11,picture3_threat.jpg,1,9
sub11,picture4_neutral.jpg,1,2
sub11,picture4_threat.jpg,1,1
sub11,picture5_neutral.jpg,1,10
sub11,picture7_neutral.jpg,1,8
sub11,picture9_neutral.jpg,1,3
sub12,picture1_neutral.jpg,1,5
sub12,picture1_threat.jpg,1,14
sub12,picture2_threat.jpg,1,18
sub12,picture3_neutral.jpg,1,16
sub12,picture3_threat.jpg,1,17
sub12,picture4_threat.jpg,1,9
sub12,picture5_neutral.jpg,1,14
sub12,picture6_neutral.jpg,1,1
sub12,picture7_neutral.jpg,1,18
sub12,picture9_neutral.jpg,1,6
sub13,picture1_neutral.jpg,1,1
sub13,picture1_threat.jpg,1,1
sub13,picture2_neutral.jpg,1,3
sub13,picture2_threat.jpg,1,11
sub13,picture3_neutral.jpg,1,12
sub13,picture3_threat.jpg,1,12
sub13,picture4_threat.jpg,1,9
sub13,picture5_neutral.jpg,1,7
sub13,picture8_neutral.jpg,1,10
sub13,picture9_neutral.jpg,1,10
sub14,picture1_neutral.jpg,1,15
sub14,picture1_threat.jpg,1,7
sub14,picture2_neutral.jpg,1,18
sub14,picture2_threat.jpg,1,12
sub14,picture3_threat.jpg,1,23
sub14,picture4_neutral.jpg,1,2
sub14,picture4_threat.jpg,1,24
sub14,picture5_neutral.jpg,1,24
sub14,picture6_neutral.jpg,1,22
sub14,picture8_neutral.jpg,1,10
sub15,picture10_neutral.jpg,1,18
sub15,picture1_neutral.jpg,1,17
sub15,picture1_threat.jpg,1,18
sub15,picture2_threat.jpg,1,13
sub15,picture3_neutral.jpg,1,12
sub15,picture3_threat.jpg,1,1
sub15,picture4_neutral.jpg,1,17
sub15,picture4_threat.jpg,1,1
sub15,picture6_neutral.jpg,1,1
sub15,picture7_neutral.jpg,1,3
sub16,picture10_neutral.jpg,1,17
sub16,picture1_threat.jpg,1,18
sub16,picture2_threat.jpg,1,14
sub16,picture3_neutral.jpg,1,10
sub16,picture3_threat.jpg,1,15
sub16,picture4_neutral.jpg,1,17
sub16,picture4_threat.jpg,1,6
sub16,picture6_neutral.jpg,1,12
sub16,picture8_neutral.jpg,1,19
sub16,picture9_neutral.jpg,1,19
sub17,picture1_neutral.jpg,3,12
sub17,picture1_threat.jpg,3,16
sub17,picture2_neutral.jpg,3,11
sub17,picture2_threat.jpg,3,11
sub17,picture3_threat.jpg,3,8
sub17,picture4_threat.jpg,3,1.3333333333333333
sub17,picture6_neutral.jpg,3,15.333333333333334
sub17,picture7_neutral.jpg,3,5
sub17,picture8_neutral.jpg,3,15.666666666666666
sub17,picture9_neutral.jpg,3,15.333333333333334
sub18,picture10_neutral.jpg,1,8
sub18,picture1_threat.jpg,1,9
sub18,picture2_threat.jpg,1,1
sub18,picture3_neutral.jpg,1,7
sub18,picture3_threat.jpg,1,9
sub18,picture4_neutral.jpg,1,1
sub18,picture4_threat.jpg,1,5
sub18,picture7_neutral.jpg,1,5
sub18,picture8_neutral.jpg,1,8
sub18,picture9_neutral.jpg,1,6
sub19,picture1_neutral.jpg,1,12
sub19,picture1_threat.jpg,1,15
sub19,picture2_neutral.jpg,1,7
sub19,picture2_threat.jpg,1,1
sub19,picture3_neutral.jpg,1,14
sub19,picture3_threat.jpg,1,14
sub19,picture4_threat.jpg,1,7
sub19,picture5_neutral.jpg,1,5
sub19,picture7_neutral.jpg,1,4
sub19,picture9_neutral.jpg,1,15
sub2,picture10_neutral.jpg,1,19
sub2,picture1_neutral.jpg,1,9
sub2,picture1_threat.jpg,1,11
sub2,picture2_threat.jpg,1,20
sub2,picture3_neutral.jpg,1,19
sub2,picture3_threat.jpg,1,15
sub2,picture4_neutral.jpg,1,21
sub2,picture4_threat.jpg,1,21
sub2,picture8_neutral.jpg,1,6
sub2,picture9_neutral.jpg,1,1
sub20,picture1_neutral.jpg,2,11.5
sub20,picture1_threat.jpg,2,12
sub20,picture2_threat.jpg,2,10.5
sub20,picture3_neutral.jpg,2,11.5
sub20,picture3_threat.jpg,2,3.5
sub20,picture4_neutral.jpg,2,1
sub20,picture4_threat.jpg,2,8.5
sub20,picture5_neutral.jpg,2,1
sub20,picture7_neutral.jpg,2,1
sub20,picture9_neutral.jpg,2,9
sub21,picture10_neutral.jpg,2,14.5
sub21,picture1_threat.jpg,2,13
sub21,picture2_threat.jpg,2,12
sub21,picture3_neutral.jpg,2,5.5
sub21,picture3_threat.jpg,2,9.5
sub21,picture4_neutral.jpg,2,3
sub21,picture4_threat.jpg,2,14.5
sub21,picture5_neutral.jpg,2,10.5
sub21,picture6_neutral.jpg,2,8
sub21,picture9_neutral.jpg,2,2
sub22,picture10_neutral.jpg,1,4
sub22,picture1_neutral.jpg,1,2
sub22,picture1_threat.jpg,1,14
sub22,picture2_threat.jpg,1,14
sub22,picture3_threat.jpg,1,4
sub22,picture4_neutral.jpg,1,13
sub22,picture4_threat.jpg,1,1
sub22,picture5_neutral.jpg,1,13
sub22,picture8_neutral.jpg,1,9
sub22,picture9_neutral.jpg,1,9
sub23,picture10_neutral.jpg,2,10.5
sub23,picture1_neutral.jpg,2,11
sub23,picture1_threat.jpg,2,11.5
sub23,picture2_neutral.jpg,2,12.5
sub23,picture2_threat.jpg,2,8
sub23,picture3_threat.jpg,2,13
sub23,picture4_threat.jpg,2,9
sub23,picture6_neutral.jpg,2,13
sub23,picture8_neutral.jpg,2,5.5
sub23,picture9_neutral.jpg,2,12
sub24,picture10_neutral.jpg,1,1
sub24,picture1_neutral.jpg,1,1
sub24,picture1_threat.jpg,1,10
sub24,picture2_neutral.jpg,1,2
sub24,picture2_threat.jpg,1,1
sub24,picture3_threat.jpg,1,13
sub24,picture4_threat.jpg,1,11
sub24,picture5_neutral.jpg,1,13
sub24,picture6_neutral.jpg,1,12
sub24,picture8_neutral.jpg,1,8
sub25,picture1_threat.jpg,1,9
sub25,picture2_neutral.jpg,1,9
sub25,picture2_threat.jpg,1,15
sub25,picture3_neutral.jpg,1,1
sub25,picture3_threat.jpg,1,18
sub25,picture4_neutral.jpg,1,4
sub25,picture4_threat.jpg,1,10
sub25,picture5_neutral.jpg,1,17
sub25,picture6_neutral.jpg,1,18
sub25,picture7_neutral.jpg,1,13
sub26,picture1_neutral.jpg,1,1
sub26,picture1_threat.jpg,1,1
sub26,picture2_neutral.jpg,1,1
sub26,picture2_threat.jpg,1,8
sub26,picture3_threat.jpg,1,9
sub26,picture4_threat.jpg,1,14
sub26,picture5_neutral.jpg,1,12
sub26,picture6_neutral.jpg,1,15
sub26,picture7_neutral.jpg,1,15
sub26,picture9_neutral.jpg,1,8
sub28,picture1_threat.jpg,2,16.5
sub28,picture2_neutral.jpg,2,5.5
sub28,picture2_threat.jpg,2,10.5
sub28,picture3_neutral.jpg,2,11.5
sub28,picture3_threat.jpg,2,18.5
sub28,picture4_neutral.jpg,2,16
sub28,picture4_threat.jpg,2,9
sub28,picture5_neutral.jpg,2,3.5
sub28,picture8_neutral.jpg,2,18.5
sub28,picture9_neutral.jpg,2,16
sub29,picture10_neutral.jpg,1,21
sub29,picture1_neutral.jpg,1,19
sub29,picture1_threat.jpg,1,28
sub29,picture2_neutral.jpg,1,28
sub29,picture2_threat.jpg,1,14
sub29,picture3_neutral.jpg,1,24
sub29,picture3_threat.jpg,1,4
sub29,picture4_threat.jpg,1,26
sub29,picture5_neutral.jpg,1,27
sub29,picture7_neutral.jpg,1,7
sub30,picture10_neutral.jpg,1,15
sub30,picture1_threat.jpg,1,3
sub30,picture2_threat.jpg,1,7
sub30,picture3_neutral.jpg,1,14
sub30,picture3_threat.jpg,1,11
sub30,picture4_neutral.jpg,1,13
sub30,picture4_threat.jpg,1,9
sub30,picture5_neutral.jpg,1,15
sub30,picture6_neutral.jpg,1,1
sub30,picture9_neutral.jpg,1,4
sub31,picture10_neutral.jpg,2,5.5
sub31,picture1_threat.jpg,2,6.5
sub31,picture2_neutral.jpg,2,4.5
sub31,picture2_threat.jpg,2,5.5
sub31,picture3_threat.jpg,2,9
sub31,picture4_neutral.jpg,2,10.5
sub31,picture4_threat.jpg,2,8
sub31,picture6_neutral.jpg,2,10
sub31,picture8_neutral.jpg,2,9.5
sub31,picture9_neutral.jpg,2,3.5
sub32,picture1_neutral.jpg,1,5
sub32,picture1_threat.jpg,1,8
sub32,picture2_neutral.jpg,1,10
sub32,picture2_threat.jpg,1,1
sub32,picture3_threat.jpg,1,11
sub32,picture4_neutral.jpg,1,7
sub32,picture4_threat.jpg,1,11
sub32,picture5_neutral.jpg,1,9
sub32,picture6_neutral.jpg,1,2
