subject,trialCount,src,first_correct_no_further_mistakes_1
sub1,1,picture1_threat.jpg,12
sub1,1,picture2_threat.jpg,2
sub1,1,picture3_neutral.jpg,8
sub1,1,picture3_threat.jpg,1
sub1,1,picture4_neutral.jpg,12
sub1,1,picture4_threat.jpg,11
sub1,1,picture5_neutral.jpg,5
sub1,1,picture6_neutral.jpg,3
sub1,1,picture7_neutral.jpg,7
sub1,1,picture9_neutral.jpg,10
sub10,1,picture10_neutral.jpg,21
sub10,1,picture1_neutral.jpg,1
sub10,1,picture1_threat.jpg,19
sub10,1,picture2_threat.jpg,16
sub10,1,picture3_neutral.jpg,10
sub10,1,picture3_threat.jpg,22
sub10,1,picture4_neutral.jpg,15
sub10,1,picture4_threat.jpg,20
sub10,1,picture5_neutral.jpg,20
sub10,1,picture9_neutral.jpg,22
sub100,1,picture10_neutral.jpg,10
sub100,1,picture1_neutral.jpg,14
sub100,1,picture1_threat.jpg,15
sub100,1,picture2_threat.jpg,13
sub100,1,picture3_neutral.jpg,1
sub100,1,picture3_threat.jpg,16
sub100,1,picture4_neutral.jpg,16
sub100,1,picture4_threat.jpg,3
sub100,1,picture5_neutral.jpg,6
sub100,1,picture7_neutral.jpg,3
sub100,2,picture10_neutral.jpg,1
sub100,2,picture1_neutral.jpg,3
sub100,2,picture1_threat.jpg,5
sub100,2,picture2_threat.jpg,4
sub100,2,picture3_neutral.jpg,1
sub100,2,picture3_threat.jpg,1
sub100,2,picture4_neutral.jpg,4
sub100,2,picture4_threat.jpg,1
sub100,2,picture5_neutral.jpg,5
sub100,2,picture7_neutral.jpg,1
sub100,4,picture10_neutral.jpg,1
sub100,4,picture1_neutral.jpg,1
sub100,4,picture1_threat.jpg,2
sub100,4,picture2_threat.jpg,1
sub100,4,picture3_neutral.jpg,1
sub100,4,picture3_threat.jpg,1
sub100,4,picture4_neutral.jpg,2
sub100,4,picture4_threat.jpg,1
sub100,4,picture5_neutral.jpg,1
sub100,4,picture7_neutral.jpg,1
sub101,1,picture1_neutral.jpg,39
sub101,1,picture1_threat.jpg,45
sub101,1,picture2_threat.jpg,46
sub101,1,picture3_neutral.jpg,44
sub101,1,picture3_threat.jpg,46
sub101,1,picture4_neutral.jpg,24
sub101,1,picture4_threat.jpg,45
sub101,1,picture5_neutral.jpg,42
sub101,1,picture6_neutral.jpg,32
sub101,1,picture7_neutral.jpg,36
sub101,2,picture1_neutral.jpg,11
sub101,2,picture1_threat.jpg,7
sub101,2,picture2_threat.jpg,4
sub101,2,picture3_neutral.jpg,12
sub101,2,picture3_threat.jpg,1
sub101,2,picture4_neutral.jpg,12
sub101,2,picture4_threat.jpg,3
sub101,2,picture5_neutral.jpg,1
sub101,2,picture6_neutral.jpg,1
sub101,2,picture7_neutral.jpg,5
sub102,1,picture10_neutral.jpg,4
sub102,1,picture1_neutral.jpg,13
sub102,1,picture1_threat.jpg,18
sub102,1,picture2_threat.jpg,17
sub102,1,picture3_neutral.jpg,15
sub102,1,picture3_threat.jpg,14
sub102,1,picture4_neutral.jpg,18
sub102,1,picture4_threat.jpg,12
sub102,1,picture5_neutral.jpg,2
sub102,1,picture6_neutral.jpg,17
sub103,1,picture10_neutral.jpg,22
sub103,1,picture1_neutral.jpg,5
sub103,1,picture1_threat.jpg,19
sub103,1,picture2_threat.jpg,21
sub103,1,picture3_neutral.jpg,14
sub103,1,picture3_threat.jpg,7
sub103,1,picture4_neutral.jpg,23
sub103,1,picture4_threat.jpg,1
sub103,1,picture6_neutral.jpg,10
sub103,1,picture7_neutral.jpg,23
sub105,1,picture10_neutral.jpg,5
sub105,1,picture1_neutral.jpg,24
sub105,1,picture1_threat.jpg,3
sub105,1,picture2_threat.jpg,23
sub105,1,picture3_threat.jpg,20
sub105,1,picture4_neutral.jpg,24
sub105,1,picture4_threat.jpg,20
sub105,1,picture6_neutral.jpg,1
sub105,1,picture7_neutral.jpg,21
sub105,1,picture9_neutral.jpg,8
