subject,transitionType,transitionThreatKind,trialCount,blockTrialCount,block,RT,acc,activeNodeCommunityCongruency,bondaryNodeStatus,communityTransitionStatus,missedSkipStatus,falseAlarmStatus,activeNodeThreatStatus
a273wocs111dh0,l,threat-threat,1,1,1,583,0,congruent,i,0,1,0,threat
a273wocs111dh0,l,threat-neutral,2,2,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-threat,3,3,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,l,threat-threat,4,4,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,i,threat-neutral,5,5,1,859,1,incongruent,i,1,1,1,neutral
a273wocs111dh0,l,neutral-threat,6,6,1,1536,0,incongruent,i,0,1,0,threat
a273wocs111dh0,l,threat-threat,7,7,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,l,threat-threat,8,8,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,i,threat-neutral,9,9,1,NA,0,congruent,i,1,0,1,neutral
a273wocs111dh0,l,neutral-threat,10,10,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,11,11,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,12,12,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-threat,13,13,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,i,threat-threat,14,14,1,942,1,incongruent,i,1,1,1,threat
a273wocs111dh0,l,threat-neutral,15,15,1,1123,0,incongruent,i,0,1,0,neutral
a273wocs111dh0,l,neutral-neutral,16,16,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-neutral,17,17,1,949,1,congruent,i,1,1,1,neutral
a273wocs111dh0,l,neutral-threat,18,18,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,19,19,1,NA,1,congruent,b,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,20,20,1,1122,0,incongruent,b,1,1,0,neutral
a273wocs111dh0,l,neutral-neutral,21,21,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,22,22,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-threat,23,23,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,24,24,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,25,25,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-threat,26,26,1,1209,1,congruent,i,1,1,1,threat
a273wocs111dh0,l,threat-neutral,27,27,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,28,28,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-neutral,29,29,1,1090,1,incongruent,b,1,1,1,neutral
a273wocs111dh0,l,neutral-threat,30,30,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,31,31,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-neutral,32,32,1,846,1,congruent,i,1,1,1,neutral
a273wocs111dh0,l,neutral-threat,33,33,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,34,34,1,NA,1,congruent,b,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,35,35,1,NA,1,congruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-neutral,36,36,1,NA,0,incongruent,b,1,0,1,neutral
a273wocs111dh0,l,neutral-neutral,37,37,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,l,neutral-threat,38,38,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,39,39,1,NA,1,incongruent,b,0,1,1,neutral
a273wocs111dh0,l,neutral-threat,40,40,1,NA,1,incongruent,i,0,1,1,threat
a273wocs111dh0,l,threat-neutral,41,41,1,NA,1,incongruent,i,0,1,1,neutral
a273wocs111dh0,i,neutral-threat,42,42,1,1342,1,congruent,i,1,1,1,threat
a273wocs111dh0,l,threat-threat,43,43,1,NA,1,congruent,i,0,1,1,threat
a273wocs111dh0,i,threat-threat,44,44,1,1029,1,incongruent,i,1,1,1,threat
a273wocs111dh0,l,threat-neutral,45,45,1,NA,1,incongruent,b,0,1,1,neutral
a273wocs111dh0,l,neutral-neutral,46,46,1,NA,1,incongruent,i,0,1,1,neutral
