subject,trialCount,RT,acc,partResp,chosenNode,chosenImageFile,chosenCommunityNumber,chosenThreatStatus,option1CommunityNumber,option1ThreatStatus,option2CommunityNumber,option2ThreatStatus,option3CommunityNumber,option3ThreatStatus
sub1,1,3393,1,1,Node10,picture4.jpg,2,threat,2,threat,1,neutral,1,threat
sub1,2,4592,1,3,Node2,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub1,3,2220,1,3,Node8,picture5.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub1,4,3639,1,3,Node10,picture4.jpg,2,threat,1,threat,1,neutral,2,threat
sub1,5,7169,1,2,Node3,picture3.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub1,6,3349,1,2,Node10,picture4.jpg,2,threat,1,neutral,2,threat,1,threat
sub1,7,7456,1,2,Node8,picture5.jpg,2,neutral,1,neutral,2,neutral,1,threat
sub1,8,11239,1,3,Node4,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub1,9,8439,1,2,Node3,picture3.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub1,10,4343,1,2,Node10,picture4.jpg,2,threat,1,threat,2,threat,1,neutral
sub1,11,9343,1,2,Node9,picture4.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub1,12,4680,1,3,Node6,picture9.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub1,13,2212,0,2,Node9,picture4.jpg,2,neutral,2,neutral,2,neutral,1,threat
sub1,14,5226,1,3,Node3,picture3.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub1,15,1983,1,2,Node6,picture9.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub1,16,2815,1,3,Node1,picture2.jpg,1,threat,2,neutral,2,neutral,1,threat
sub1,17,4593,1,3,Node10,picture4.jpg,2,threat,1,neutral,1,threat,2,threat
sub1,18,2351,1,2,Node2,picture7.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub1,19,3408,1,3,Node9,picture4.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub1,20,2471,1,1,Node10,picture4.jpg,2,threat,2,threat,1,threat,1,neutral
sub1,21,4521,1,3,Node9,picture4.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub1,22,13968,1,1,Node6,picture9.jpg,2,neutral,2,neutral,1,threat,1,neutral
sub1,23,3119,1,2,Node8,picture5.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub1,24,7576,1,2,Node4,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
sub1,25,4416,1,3,Node3,picture3.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub1,26,6126,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
sub1,27,4448,1,1,Node8,picture5.jpg,2,neutral,2,neutral,1,threat,1,neutral
sub1,28,5448,1,2,Node4,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
sub1,29,2073,1,1,Node3,picture3.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub1,30,2967,1,2,Node1,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral
sub1,31,1744,1,1,Node3,picture3.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub1,32,2456,1,2,Node1,picture2.jpg,1,threat,2,neutral,1,threat,2,neutral
sub1,33,8104,1,3,Node2,picture7.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub1,34,15024,1,1,Node8,picture5.jpg,2,neutral,2,neutral,1,neutral,1,threat
sub1,35,2591,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
sub1,36,4592,0,2,Node9,picture4.jpg,2,neutral,1,threat,2,neutral,2,neutral
sub1,37,6671,1,3,Node6,picture9.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub1,38,5081,1,2,Node9,picture4.jpg,2,neutral,1,neutral,2,neutral,1,threat
sub1,39,4439,1,1,Node2,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub1,40,3368,0,3,Node9,picture4.jpg,2,neutral,1,threat,2,neutral,2,neutral
sub1,41,3305,1,1,Node6,picture9.jpg,2,neutral,2,neutral,1,neutral,1,threat
sub1,42,3799,1,3,Node8,picture5.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub1,43,3561,1,2,Node6,picture9.jpg,2,neutral,1,neutral,2,neutral,1,threat
sub1,44,4304,1,1,Node9,picture4.jpg,2,neutral,2,neutral,1,threat,1,neutral
sub1,45,2004,1,1,Node2,picture7.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub1,46,3087,1,3,Node4,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub1,47,2345,1,1,Node9,picture4.jpg,2,neutral,2,neutral,1,neutral,1,threat
sub1,48,1710,1,2,Node2,picture7.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub2,1,3399,1,2,Node2,picture4.jpg,1,neutral,2,neutral,1,neutral,2,threat
sub2,2,6674,1,1,Node1,picture10.jpg,1,neutral,1,neutral,2,threat,2,neutral
sub2,3,4076,1,3,Node8,picture1.jpg,2,threat,1,threat,1,threat,2,threat
sub2,4,7224,0,3,Node4,picture3.jpg,1,threat,1,threat,2,neutral,1,threat
sub2,5,5289,1,1,Node8,picture1.jpg,2,threat,2,threat,1,threat,1,threat
sub2,6,7825,1,1,Node10,picture4.jpg,2,threat,2,threat,1,threat,1,neutral
sub2,7,8948,1,1,Node2,picture4.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub2,8,4987,1,1,Node1,picture10.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub2,9,4632,1,3,Node3,picture2.jpg,1,threat,2,neutral,2,threat,1,threat
sub2,10,3137,1,1,Node6,picture3.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub2,11,11033,1,1,Node8,picture1.jpg,2,threat,2,threat,1,threat,1,threat
sub2,12,9288,1,1,Node10,picture4.jpg,2,threat,2,threat,1,neutral,1,threat
sub2,13,10951,0,3,Node8,picture1.jpg,2,threat,2,neutral,1,threat,2,threat
sub2,14,10859,1,3,Node3,picture2.jpg,1,threat,2,threat,2,neutral,1,threat
sub2,15,8021,1,3,Node2,picture4.jpg,1,neutral,2,neutral,2,threat,1,neutral
sub2,16,13334,1,2,Node4,picture3.jpg,1,threat,2,threat,1,threat,2,neutral
sub2,17,8462,1,3,Node10,picture4.jpg,2,threat,1,threat,1,neutral,2,threat
sub2,18,7161,1,1,Node9,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat
sub2,19,6308,1,3,Node4,picture3.jpg,1,threat,2,threat,2,neutral,1,threat
sub2,20,4229,1,3,Node1,picture10.jpg,1,neutral,2,neutral,2,threat,1,neutral
sub2,21,15681,1,2,Node3,picture2.jpg,1,threat,2,neutral,1,threat,2,threat
sub2,22,3353,1,3,Node2,picture4.jpg,1,neutral,2,threat,2,neutral,1,neutral
sub2,23,3461,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,threat
sub2,24,4114,1,2,Node10,picture4.jpg,2,threat,1,neutral,2,threat,1,threat
sub2,25,2968,1,3,Node6,picture3.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub2,26,6354,1,1,Node2,picture4.jpg,1,neutral,1,neutral,2,threat,2,neutral
sub2,27,5623,0,1,Node3,picture2.jpg,1,threat,1,threat,1,threat,2,threat
sub2,28,3679,1,3,Node9,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral
sub2,29,4528,1,3,Node6,picture3.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub2,30,4834,1,2,Node2,picture4.jpg,1,neutral,2,threat,1,neutral,2,neutral
sub2,31,6993,1,1,Node9,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat
sub2,32,7248,1,3,Node1,picture10.jpg,1,neutral,2,threat,2,neutral,1,neutral
sub2,33,11721,1,2,Node10,picture4.jpg,2,threat,1,threat,2,threat,1,neutral
sub2,34,4913,1,2,Node9,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat
sub2,35,4482,1,2,Node6,picture3.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub2,36,3593,1,2,Node8,picture1.jpg,2,threat,1,threat,2,threat,1,threat
sub2,37,2227,1,3,Node9,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral
sub2,38,4011,1,1,Node4,picture3.jpg,1,threat,1,threat,2,threat,2,neutral
sub2,39,9973,1,2,Node1,picture10.jpg,1,neutral,2,neutral,1,neutral,2,threat
sub2,40,6943,1,1,Node3,picture2.jpg,1,threat,1,threat,2,neutral,2,threat
sub2,41,13253,1,1,Node6,picture3.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub2,42,6242,0,3,Node4,picture3.jpg,1,threat,1,threat,2,threat,1,threat
sub2,43,5209,1,3,Node10,picture4.jpg,2,threat,1,neutral,1,threat,2,threat
sub2,44,7813,1,1,Node3,picture2.jpg,1,threat,1,threat,2,threat,2,neutral
sub2,45,5060,1,2,Node6,picture3.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub2,46,8892,0,1,Node8,picture1.jpg,2,threat,2,threat,1,threat,2,neutral
sub2,47,4582,1,3,Node4,picture3.jpg,1,threat,2,neutral,2,threat,1,threat
sub2,48,10495,0,1,Node10,picture4.jpg,2,threat,2,threat,1,neutral,2,neutral
sub3,1,3967,1,2,Node2,picture4.jpg,1,neutral,2,threat,1,neutral,2,neutral
sub3,2,2136,0,3,Node8,picture7.jpg,2,neutral,2,neutral,1,threat,2,neutral
sub3,3,1487,0,2,Node8,picture7.jpg,2,neutral,1,neutral,2,neutral,2,neutral
sub3,4,1643,0,1,Node1,picture3.jpg,1,threat,1,threat,1,neutral,2,threat
sub3,5,1238,0,2,Node1,picture3.jpg,1,threat,2,neutral,1,threat,1,threat
sub3,6,1286,0,3,Node2,picture4.jpg,1,neutral,1,threat,2,neutral,1,neutral
sub3,7,1864,1,1,Node1,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
sub3,8,822,1,2,Node8,picture7.jpg,2,neutral,1,neutral,2,neutral,1,threat
sub3,9,1287,0,3,Node2,picture4.jpg,1,neutral,2,neutral,1,threat,1,neutral
sub3,10,1050,0,2,Node2,picture4.jpg,1,neutral,2,threat,1,neutral,1,threat
sub3,11,1123,0,1,Node3,picture4.jpg,1,threat,1,threat,1,threat,2,neutral
sub3,12,1081,0,3,Node3,picture4.jpg,1,threat,1,neutral,2,neutral,1,threat
sub3,13,2058,1,2,Node10,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat
sub3,14,1430,1,1,Node8,picture7.jpg,2,neutral,2,neutral,1,neutral,1,threat
sub3,15,1384,0,2,Node10,picture1.jpg,2,neutral,1,threat,2,neutral,2,threat
sub3,16,1550,1,1,Node9,picture1.jpg,2,threat,2,threat,1,threat,1,neutral
sub3,17,1620,1,1,Node4,picture5.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub3,18,1626,1,3,Node6,picture6.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub3,19,1607,0,3,Node10,picture1.jpg,2,neutral,1,threat,2,neutral,2,neutral
sub3,20,1848,1,3,Node3,picture4.jpg,1,threat,2,neutral,2,threat,1,threat
sub3,21,1709,0,1,Node8,picture7.jpg,2,neutral,2,neutral,1,neutral,2,neutral
sub3,22,1105,0,2,Node10,picture1.jpg,2,neutral,2,threat,2,neutral,1,threat
sub3,23,1883,0,1,Node1,picture3.jpg,1,threat,1,threat,2,threat,1,neutral
sub3,24,1381,1,3,Node8,picture7.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub3,25,1436,0,3,Node10,picture1.jpg,2,neutral,1,threat,2,threat,2,neutral
sub3,26,1814,1,3,Node1,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub3,27,1812,1,2,Node3,picture4.jpg,1,threat,2,threat,1,threat,2,neutral
sub3,28,1618,1,1,Node2,picture4.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub3,29,1146,0,2,Node8,picture7.jpg,2,neutral,2,neutral,2,neutral,1,neutral
sub3,30,1066,0,2,Node3,picture4.jpg,1,threat,2,neutral,1,threat,1,neutral
sub3,31,1346,0,3,Node3,picture4.jpg,1,threat,1,threat,2,neutral,1,threat
sub3,32,1388,1,2,Node8,picture7.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub3,33,2050,0,2,Node3,picture4.jpg,1,threat,1,threat,1,threat,2,neutral
sub3,34,14907,0,2,Node2,picture4.jpg,1,neutral,1,threat,1,neutral,2,neutral
sub3,35,2627,0,1,Node10,picture1.jpg,2,neutral,2,neutral,2,threat,1,neutral
sub3,36,2560,0,1,Node8,picture7.jpg,2,neutral,2,neutral,1,threat,2,neutral
sub3,37,2157,1,3,Node6,picture6.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub3,38,2112,0,3,Node9,picture1.jpg,2,threat,2,neutral,1,neutral,2,threat
sub3,39,1945,1,3,Node1,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub3,40,2070,0,3,Node9,picture1.jpg,2,threat,2,neutral,1,threat,2,threat
sub3,41,2338,0,2,Node10,picture1.jpg,2,neutral,2,threat,2,neutral,1,neutral
sub3,42,1784,1,2,Node4,picture5.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub3,43,1824,0,3,Node1,picture3.jpg,1,threat,1,neutral,2,threat,1,threat
sub3,44,1705,0,3,Node3,picture4.jpg,1,threat,2,neutral,1,neutral,1,threat
sub3,45,2456,1,1,Node10,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat
sub3,46,2540,0,2,Node1,picture3.jpg,1,threat,1,neutral,1,threat,2,threat
sub3,47,1847,0,2,Node10,picture1.jpg,2,neutral,2,neutral,2,neutral,1,neutral
sub3,48,2421,0,3,Node10,picture1.jpg,2,neutral,1,neutral,2,threat,2,neutral
sub4,1,4151,1,2,Node8,picture6.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub4,2,4673,1,2,Node9,picture9.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub4,3,7100,0,3,Node1,picture3.jpg,1,threat,2,threat,1,neutral,1,threat
sub4,4,13440,1,2,Node4,picture1.jpg,1,neutral,2,neutral,1,neutral,2,neutral
sub4,5,4634,1,3,Node3,picture5.jpg,1,neutral,2,threat,2,neutral,1,neutral
sub4,6,11818,1,1,Node2,picture2.jpg,1,threat,1,threat,2,threat,2,neutral
sub4,7,5802,1,1,Node8,picture6.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,8,5354,1,3,Node2,picture2.jpg,1,threat,2,neutral,2,threat,1,threat
sub4,9,2856,0,1,Node6,picture7.jpg,2,neutral,2,neutral,1,neutral,2,neutral
sub4,10,11242,1,3,Node3,picture5.jpg,1,neutral,2,neutral,2,threat,1,neutral
sub4,11,8765,1,1,Node4,picture1.jpg,1,neutral,1,neutral,2,neutral,2,neutral
sub4,12,7372,1,2,Node3,picture5.jpg,1,neutral,2,neutral,1,neutral,2,threat
sub4,13,5701,1,1,Node1,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
sub4,14,6816,1,1,Node6,picture7.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,15,7702,1,1,Node3,picture5.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub4,16,3554,1,3,Node2,picture2.jpg,1,threat,2,threat,2,neutral,1,threat
sub4,17,5781,1,2,Node1,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
sub4,18,19803,1,1,Node2,picture2.jpg,1,threat,1,threat,2,neutral,2,threat
sub4,19,3370,1,3,Node9,picture9.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,20,5661,1,2,Node10,picture1.jpg,2,threat,1,threat,2,threat,1,neutral
sub4,21,4968,1,3,Node4,picture1.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub4,22,6734,1,1,Node3,picture5.jpg,1,neutral,1,neutral,2,threat,2,neutral
sub4,23,7899,1,3,Node4,picture1.jpg,1,neutral,2,neutral,2,neutral,1,neutral
sub4,24,3292,1,3,Node1,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub4,25,5792,1,2,Node3,picture5.jpg,1,neutral,2,threat,1,neutral,2,neutral
sub4,26,4559,1,2,Node1,picture3.jpg,1,threat,2,neutral,1,threat,2,neutral
sub4,27,5254,1,1,Node9,picture9.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,28,6310,1,2,Node10,picture1.jpg,2,threat,1,neutral,2,threat,1,threat
sub4,29,7788,1,3,Node6,picture7.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,30,6723,1,3,Node10,picture1.jpg,2,threat,1,neutral,1,threat,2,threat
sub4,31,4444,1,2,Node9,picture9.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub4,32,2938,1,3,Node10,picture1.jpg,2,threat,1,threat,1,neutral,2,threat
sub4,33,7210,1,2,Node8,picture6.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub4,34,2990,0,2,Node6,picture7.jpg,2,neutral,1,neutral,2,neutral,2,neutral
sub4,35,4783,1,1,Node1,picture3.jpg,1,threat,1,threat,2,neutral,2,neutral
sub4,36,6532,0,1,Node10,picture1.jpg,2,threat,2,threat,1,threat,2,neutral
sub4,37,7318,1,1,Node8,picture6.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,38,4292,1,1,Node6,picture7.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,39,3018,1,2,Node2,picture2.jpg,1,threat,2,neutral,1,threat,2,threat
sub4,40,3127,1,1,Node10,picture1.jpg,2,threat,2,threat,1,threat,1,neutral
sub4,41,4177,1,3,Node8,picture6.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,42,11034,1,3,Node9,picture9.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,43,3215,1,2,Node6,picture7.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub4,44,10144,1,1,Node9,picture9.jpg,2,neutral,2,neutral,1,neutral,1,neutral
sub4,45,4067,1,3,Node8,picture6.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,46,3635,1,3,Node6,picture7.jpg,2,neutral,1,neutral,1,neutral,2,neutral
sub4,47,3092,1,3,Node1,picture3.jpg,1,threat,2,neutral,2,neutral,1,threat
sub4,48,7230,1,2,Node6,picture7.jpg,2,neutral,1,neutral,2,neutral,1,neutral
sub5,1,4624,1,3,Node2,picture10.jpg,1,neutral,2,threat,2,neutral,1,neutral
sub5,2,2209,1,1,Node8,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat
sub5,3,2451,1,1,Node10,picture4.jpg,2,threat,2,threat,1,neutral,1,neutral
sub5,4,2612,1,3,Node6,picture8.jpg,2,neutral,1,threat,1,neutral,2,neutral
sub5,5,2155,1,3,Node9,picture1.jpg,2,threat,1,neutral,1,threat,2,threat
sub5,6,2523,1,1,Node6,picture8.jpg,2,neutral,2,neutral,1,neutral,1,threat
sub5,7,1901,1,2,Node9,picture1.jpg,2,threat,1,neutral,2,threat,1,threat
sub5,8,2775,1,1,Node2,picture10.jpg,1,neutral,1,neutral,2,threat,2,neutral
sub5,9,2230,1,1,Node4,picture3.jpg,1,threat,1,threat,2,neutral,2,threat
sub5,10,1898,1,3,Node1,picture2.jpg,1,threat,2,neutral,2,threat,1,threat
sub5,11,3126,1,2,Node2,picture10.jpg,1,neutral,2,neutral,1,neutral,2,threat
sub5,12,2362,1,1,Node4,picture3.jpg,1,threat,1,threat,2,threat,2,neutral
sub5,13,3463,1,2,Node1,picture2.jpg,1,threat,2,neutral,1,threat,2,threat
sub5,14,5209,1,1,Node9,picture1.jpg,2,threat,2,threat,1,neutral,1,threat
sub5,15,2841,1,2,Node8,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat
sub5,16,2162,1,1,Node1,picture2.jpg,1,threat,1,threat,2,neutral,2,threat
sub5,17,2928,1,2,Node9,picture1.jpg,2,threat,1,threat,2,threat,1,neutral
sub5,18,2921,1,2,Node6,picture8.jpg,2,neutral,1,neutral,2,neutral,1,threat
sub5,19,2094,1,3,Node10,picture4.jpg,2,threat,1,neutral,1,neutral,2,threat
sub5,20,3324,1,2,Node4,picture3.jpg,1,threat,2,neutral,1,threat,2,threat
sub5,21,3114,1,3,Node10,picture4.jpg,2,threat,1,neutral,1,neutral,2,threat
sub5,22,2239,1,1,Node6,picture8.jpg,2,neutral,2,neutral,1,threat,1,neutral
sub5,23,2662,1,1,Node8,picture1.jpg,2,neutral,2,neutral,1,threat,1,threat
sub5,24,3360,1,1,Node1,picture2.jpg,1,threat,1,threat,2,threat,2,neutral
sub5,25,1979,1,3,Node2,picture10.jpg,1,neutral,2,neutral,2,threat,1,neutral
sub5,26,4090,1,3,Node8,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral
sub5,27,5351,1,1,Node3,picture7.jpg,1,neutral,1,neutral,2,threat,2,neutral
sub5,28,2768,1,1,Node2,picture10.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub5,29,3415,1,1,Node3,picture7.jpg,1,neutral,1,neutral,2,neutral,2,threat
sub5,30,2549,1,2,Node4,picture3.jpg,1,threat,2,threat,1,threat,2,neutral
sub5,31,4048,1,2,Node2,picture10.jpg,1,neutral,2,threat,1,neutral,2,neutral
sub5,32,4425,1,3,Node3,picture7.jpg,1,neutral,2,threat,2,neutral,1,neutral
sub5,33,5293,1,2,Node8,picture1.jpg,2,neutral,1,threat,2,neutral,1,threat
sub5,34,3214,1,2,Node3,picture7.jpg,1,neutral,2,threat,1,neutral,2,neutral
sub5,35,4535,1,3,Node8,picture1.jpg,2,neutral,1,threat,1,threat,2,neutral
sub5,36,6480,1,3,Node4,picture3.jpg,1,threat,2,neutral,2,threat,1,threat
sub5,37,3824,1,2,Node6,picture8.jpg,2,neutral,1,threat,2,neutral,1,neutral
sub5,38,4147,1,3,Node9,picture1.jpg,2,threat,1,threat,1,neutral,2,threat
sub5,39,6500,1,3,Node6,picture8.jpg,2,neutral,1,neutral,1,threat,2,neutral
sub5,40,2624,1,2,Node10,picture4.jpg,2,threat,1,neutral,2,threat,1,neutral
sub5,41,4707,1,2,Node3,picture7.jpg,1,neutral,2,neutral,1,neutral,2,threat
sub5,42,9026,1,2,Node1,picture2.jpg,1,threat,2,threat,1,threat,2,neutral
sub5,43,5442,1,2,Node10,picture4.jpg,2,threat,1,neutral,2,threat,1,neutral
sub5,44,4603,1,3,Node1,picture2.jpg,1,threat,2,threat,2,neutral,1,threat
sub5,45,2974,0,1,Node6,picture8.jpg,2,neutral,2,neutral,2,threat,1,neutral
sub5,46,3684,1,3,Node4,picture3.jpg,1,threat,2,threat,2,neutral,1,threat
