subject,transition_threat,activeNodeThreatStatus,prevTrialThreatStatus,correct_rejections,false_alarms,hits,misses,dprime
sub1,contains_threat,neutral,threat,43,7,4,2,1.415237754764541
sub1,contains_threat,threat,neutral,41,4,8,2,2.0418969464051577
sub1,contains_threat,threat,threat,13,3,4,4,0.8207920883323804
sub1,no_threat,neutral,neutral,46,2,12,4,2.263943484433901
sub10,contains_threat,neutral,threat,49,1,10,0,3.5801315899183286
sub10,contains_threat,threat,neutral,53,0,7,0,3.889204553845917
sub10,contains_threat,threat,threat,9,2,5,1,1.6038564092432874
sub10,no_threat,neutral,neutral,45,0,15,2,3.3802201173198556
sub100,contains_threat,neutral,threat,42,2,8,1,2.6296522075168394
sub100,contains_threat,threat,neutral,44,1,6,2,2.4332208268461137
sub100,contains_threat,threat,threat,13,1,4,1,1.9560413157406824
sub100,no_threat,neutral,neutral,55,2,12,5,2.224243042793038
sub101,contains_threat,neutral,threat,52,0,3,2,2.5585585949794485
sub101,contains_threat,threat,neutral,51,1,6,0,3.3715917955185484
sub101,contains_threat,threat,threat,12,2,6,0,2.4326553587872235
sub101,no_threat,neutral,neutral,42,0,21,1,3.781595382352644
sub102,contains_threat,neutral,threat,47,0,11,0,4.042655734379664
sub102,contains_threat,threat,neutral,50,1,7,0,3.432149196974547
sub102,contains_threat,threat,threat,13,0,5,0,3.1857372178398284
sub102,no_threat,neutral,neutral,49,0,15,1,3.6780501139715023
sub103,contains_threat,neutral,threat,43,3,10,0,3.133920953333152
sub103,contains_threat,threat,neutral,47,4,5,0,2.745377516518657
sub103,contains_threat,threat,threat,8,0,11,0,3.324883214145296
sub103,no_threat,neutral,neutral,53,1,13,1,3.2040310346225813
sub105,contains_threat,neutral,threat,45,1,8,7,1.9317793197408308
sub105,contains_threat,threat,neutral,52,0,6,4,2.578014318310756
sub105,contains_threat,threat,threat,13,0,7,0,3.336863635091736
sub105,no_threat,neutral,neutral,45,3,7,1,2.4326553587872235
sub11,contains_threat,neutral,threat,43,3,10,1,2.5936487041242615
sub11,contains_threat,threat,neutral,47,2,6,3,2.03017409335904
sub11,contains_threat,threat,threat,15,0,3,2,2.073160261669576
sub11,no_threat,neutral,neutral,49,1,12,2,2.8569315264351314
sub12,contains_threat,neutral,threat,44,1,12,0,3.6125900675150415
sub12,contains_threat,threat,neutral,48,0,9,1,3.4155615330713456
sub12,contains_threat,threat,threat,16,0,6,0,3.3547437530189526
sub12,no_threat,neutral,neutral,49,1,12,0,3.658334998852136
sub13,contains_threat,neutral,threat,41,0,11,0,3.9918533874516204
sub13,contains_threat,threat,neutral,42,0,10,1,3.4195551766609715
sub13,contains_threat,threat,threat,21,0,1,1,2.0004235691059797
sub13,no_threat,neutral,neutral,49,6,14,2,2.243988522039761
sub14,contains_threat,neutral,threat,40,5,9,3,1.7923041515166076
sub14,contains_threat,threat,neutral,44,6,7,1,2.1059450445617705
sub14,contains_threat,threat,threat,12,3,3,5,0.4942056140854195
sub14,no_threat,neutral,neutral,44,5,8,4,1.6222534158510977
sub15,contains_threat,neutral,threat,48,1,9,0,3.5256472351027224
sub15,contains_threat,threat,neutral,50,0,9,0,3.9786222017586095
sub15,contains_threat,threat,threat,14,0,8,0,3.427133453838964
sub15,no_threat,neutral,neutral,47,0,12,1,3.5528581301007387
sub16,contains_threat,neutral,threat,51,0,9,0,3.985880764581919
sub16,contains_threat,threat,neutral,53,0,5,1,3.1467226172367457
sub16,contains_threat,threat,threat,21,0,8,0,3.5936423871290297
sub16,no_threat,neutral,neutral,34,0,17,0,4.103855580577641
sub17,contains_threat,neutral,threat,46,3,12,1,2.717657820022491
sub17,contains_threat,threat,neutral,50,3,8,1,2.5519974138826624
sub17,contains_threat,threat,threat,14,0,1,0,2.508404386011996
sub17,no_threat,neutral,neutral,42,2,16,0,3.4827287783564795
sub18,contains_threat,neutral,threat,44,5,8,2,1.9743867147999126
sub18,contains_threat,threat,neutral,39,8,10,2,1.7959613725439159
sub18,contains_threat,threat,threat,13,1,6,0,2.746785358230123
sub18,no_threat,neutral,neutral,35,14,11,1,1.7517644218625974
sub19,contains_threat,neutral,threat,40,0,7,2,2.9254154466988753
sub19,contains_threat,threat,neutral,43,0,6,0,3.743222125714257
sub19,contains_threat,threat,threat,16,1,8,1,2.4194275165944283
sub19,no_threat,neutral,neutral,55,4,15,1,2.791233710869117
sub2,contains_threat,neutral,threat,53,0,4,0,3.636635575037972
sub2,contains_threat,threat,neutral,41,1,11,4,2.3925497309295904
sub2,contains_threat,threat,threat,10,0,3,0,2.8409710099609056
sub2,no_threat,neutral,neutral,51,4,13,4,2.0771630401884043
sub20,contains_threat,neutral,threat,37,1,15,0,3.631556905940357
sub20,contains_threat,threat,neutral,45,1,6,1,2.740513466026594
sub20,contains_threat,threat,threat,23,1,6,1,2.4419201536157287
sub20,no_threat,neutral,neutral,47,5,10,0,2.9509604268580274
sub21,contains_threat,neutral,threat,42,2,6,5,1.6978522736371255
sub21,contains_threat,threat,neutral,42,2,8,2,2.341077412786352
sub21,contains_threat,threat,threat,14,0,4,0,3.115466201360515
sub21,no_threat,neutral,neutral,53,4,14,1,2.739507592005979
sub22,contains_threat,neutral,threat,35,6,12,1,2.2580885245838775
sub22,contains_threat,threat,neutral,40,8,4,2,1.306649997405985
sub22,contains_threat,threat,threat,13,0,6,1,2.689889649758066
sub22,no_threat,neutral,neutral,51,6,12,2,2.183020000015195
sub23,contains_threat,neutral,threat,46,3,10,0,3.1664126577640683
sub23,contains_threat,threat,neutral,48,0,9,3,2.9338990755738052
sub23,contains_threat,threat,threat,9,0,6,0,3.110087419636995
sub23,no_threat,neutral,neutral,44,9,12,0,2.6998283487566503
sub24,contains_threat,neutral,threat,40,2,8,0,3.1638038465904685
sub24,contains_threat,threat,neutral,44,1,5,1,2.63540363673971
sub24,contains_threat,threat,threat,20,0,13,0,3.7834954873864692
sub24,no_threat,neutral,neutral,48,4,12,1,2.6146771147263053
sub25,contains_threat,neutral,threat,44,2,4,4,1.6146663024148122
sub25,contains_threat,threat,neutral,44,3,6,1,2.3415541618749165
sub25,contains_threat,threat,threat,17,2,4,2,1.5164557371765777
sub25,no_threat,neutral,neutral,46,1,16,3,2.797321158495131
sub26,contains_threat,neutral,threat,49,1,5,1,2.6811485680768046
sub26,contains_threat,threat,neutral,45,0,10,1,3.445244589619104
sub26,contains_threat,threat,threat,14,0,7,0,3.36803518016846
sub26,no_threat,neutral,neutral,49,1,16,0,3.77901992066686
sub28,contains_threat,neutral,threat,50,1,12,1,3.1398954444653215
sub28,contains_threat,threat,neutral,51,4,8,2,2.1505318847556243
sub28,contains_threat,threat,threat,14,0,6,1,2.72106119483479
sub28,no_threat,neutral,neutral,37,2,8,2,2.281979139115848
sub29,contains_threat,neutral,threat,44,0,8,0,3.8797667693340308
sub29,contains_threat,threat,neutral,40,0,11,1,3.4493053988097184
sub29,contains_threat,threat,threat,16,0,6,0,3.3547437530189526
sub29,no_threat,neutral,neutral,59,0,13,1,3.67553136536311
sub30,contains_threat,neutral,threat,51,0,7,0,3.8751476819829933
sub30,contains_threat,threat,neutral,41,2,13,2,2.5920480239589367
sub30,contains_threat,threat,threat,16,0,4,1,2.563999710529512
sub30,no_threat,neutral,neutral,45,5,10,2,2.107504108835994
sub31,contains_threat,neutral,threat,40,1,14,0,3.6366577265551046
sub31,contains_threat,threat,neutral,51,1,2,1,2.2249973667974015
sub31,contains_threat,threat,threat,12,2,4,0,2.248973131646302
sub31,no_threat,neutral,neutral,53,0,18,0,4.2930155203462
sub32,contains_threat,neutral,threat,45,4,8,2,2.0886136284535186
sub32,contains_threat,threat,neutral,44,2,9,3,2.2298074070107856
sub32,contains_threat,threat,threat,15,0,5,1,2.6543704751650257
sub32,no_threat,neutral,neutral,48,2,10,1,2.8047841060662604
sub33,contains_threat,neutral,threat,49,1,9,1,2.9863135224269435
sub33,contains_threat,threat,neutral,44,1,14,0,3.6776796648122496
sub33,contains_threat,threat,threat,19,0,6,0,3.425197777225576
sub33,no_threat,neutral,neutral,45,0,10,0,3.9855168388279942
sub34,contains_threat,neutral,threat,41,2,6,1,2.4692044137282307
sub34,contains_threat,threat,neutral,36,2,10,1,2.671567426801942
sub34,contains_threat,threat,threat,17,1,6,0,2.877421371591686
sub34,no_threat,neutral,neutral,51,10,15,0,2.8194497345198006
sub35,contains_threat,neutral,threat,44,1,8,2,2.5916236237596375
sub35,contains_threat,threat,neutral,45,2,5,4,1.7506420684682729
sub35,contains_threat,threat,threat,25,0,7,3,2.5426909518873186
sub35,no_threat,neutral,neutral,37,5,8,3,1.6848631019534883
sub36,contains_threat,neutral,threat,42,5,10,0,2.8931298925103466
sub36,contains_threat,threat,neutral,40,8,7,1,1.9079652067071167
sub36,contains_threat,threat,threat,15,1,6,1,2.238848798949537
sub36,no_threat,neutral,neutral,44,4,13,2,2.3395192764283146
sub37,contains_threat,neutral,threat,50,0,9,0,3.9786222017586095
sub37,contains_threat,threat,neutral,50,1,7,1,2.8654502187237023
sub37,contains_threat,threat,threat,9,0,7,0,3.1789741713040183
sub37,no_threat,neutral,neutral,49,1,15,0,3.752241827755081
sub38,contains_threat,neutral,threat,43,1,12,1,3.075781427659235
sub38,contains_threat,threat,neutral,46,0,11,0,4.034704340712025
sub38,contains_threat,threat,threat,18,0,4,1,2.6124212610489104
sub38,no_threat,neutral,neutral,49,2,11,0,3.39545718200732
sub39,contains_threat,neutral,threat,39,9,11,6,1.2191860712065683
sub39,contains_threat,threat,neutral,44,8,10,2,1.8623319247292842
sub39,contains_threat,threat,threat,6,2,4,0,1.8710073633943793
sub39,no_threat,neutral,neutral,42,9,5,2,1.3939288861431733
sub4,contains_threat,neutral,threat,42,1,10,2,2.6932270510677285
sub4,contains_threat,threat,neutral,48,2,6,0,3.119668518375775
sub4,contains_threat,threat,threat,10,0,5,1,2.4822602373282723
sub4,no_threat,neutral,neutral,56,0,14,2,3.4242384821587417
sub40,contains_threat,neutral,threat,44,0,12,0,4.055372989829687
sub40,contains_threat,threat,neutral,45,1,10,1,3.0037162873837264
sub40,contains_threat,threat,threat,9,0,3,0,2.7952030073274807
sub40,no_threat,neutral,neutral,59,2,12,1,2.988821693404566
sub41,contains_threat,neutral,threat,46,0,8,0,3.8962587626128298
sub41,contains_threat,threat,neutral,44,0,10,0,3.977169580895879
sub41,contains_threat,threat,threat,16,0,7,0,3.423630504685976
sub41,no_threat,neutral,neutral,52,2,13,1,2.9721731951294985
sub42,contains_threat,neutral,threat,42,1,11,1,3.022182980085767
sub42,contains_threat,threat,neutral,47,1,7,0,3.405991275219791
sub42,contains_threat,threat,threat,11,0,6,0,3.1968981888077677
sub42,no_threat,neutral,neutral,58,0,14,0,4.22172353352827
sub43,contains_threat,neutral,threat,49,2,6,1,2.55093934490395
sub43,contains_threat,threat,neutral,53,1,3,0,3.0728288494539884
sub43,contains_threat,threat,threat,18,0,7,3,2.4107206318450958
sub43,no_threat,neutral,neutral,36,1,17,2,2.9071759876279124
sub44,contains_threat,neutral,threat,44,0,5,3,2.5687640983734887
sub44,contains_threat,threat,neutral,39,1,12,1,3.033631079221836
sub44,contains_threat,threat,threat,13,2,7,1,1.9774117353512835
sub44,no_threat,neutral,neutral,55,6,8,2,2.0023115381198475
sub45,contains_threat,neutral,threat,39,2,10,1,2.7091329298790026
sub45,contains_threat,threat,neutral,42,2,7,1,2.560640384124752
sub45,contains_threat,threat,threat,18,0,5,0,3.320925637953467
sub45,no_threat,neutral,neutral,55,1,16,0,3.8274414711862583
sub46,contains_threat,neutral,threat,44,2,11,0,3.3463306985370576
sub46,contains_threat,threat,neutral,49,1,7,0,3.423630504685976
sub46,contains_threat,threat,threat,16,1,5,1,2.174632734844013
sub46,no_threat,neutral,neutral,45,2,13,2,2.634970890862781
sub47,contains_threat,neutral,threat,51,2,5,0,3.0648716473582374
sub47,contains_threat,threat,neutral,47,0,9,1,3.4077949003509316
sub47,contains_threat,threat,threat,13,1,9,1,2.3783551276381143
sub47,no_threat,neutral,neutral,45,0,13,2,3.304885378492678
sub48,contains_threat,neutral,threat,52,1,7,0,3.4486263694081027
sub48,contains_threat,threat,neutral,54,0,7,0,3.896014990937518
sub48,contains_threat,threat,threat,10,0,3,0,2.8409710099609056
sub48,no_threat,neutral,neutral,42,0,21,2,3.527367357348061
sub49,contains_threat,neutral,threat,52,0,9,1,3.444933762825037
sub49,contains_threat,threat,neutral,50,0,12,0,4.102593613325844
sub49,contains_threat,threat,threat,18,1,7,0,2.9736520152910018
sub49,no_threat,neutral,neutral,38,0,11,0,3.9632702313831687
sub5,contains_threat,neutral,threat,52,4,6,0,2.877421371591686
